part_num,manufacturer,TNVED,concat_str,path_ds,id_path
XC7K410T-2FFG900I,XILINX,8542399010,XC7K410T-2FFG900I XILINX,M:\DataSheet\d76e3861-23b6-11ed-96e5-f8bc12505841.pdf,d76e3861-23b6-11ed-96e5-f8bc12505841
NC7WZ04P6X,ON SEMICONDUCTOR,8542399010,NC7WZ04P6X ON SEMICONDUCTOR,M:\DataSheet\b09bd526-4a32-11ed-96e6-f8bc12505841.pdf,b09bd526-4a32-11ed-96e6-f8bc12505841
ADUM1401ARWZ,ANALOG DEVICES,8542399010,ADUM1401ARWZ ANALOG DEVICES,M:\DataSheet\2ff0bfb5-6804-11ee-96f4-f8bc12505841.pdf,2ff0bfb5-6804-11ee-96f4-f8bc12505841
GCM155R71C104KA55D,MURATA ELECTRONICS,8532240000,GCM155R71C104KA55D MURATA ELECTRONICS,M:\DataSheet\8436bcbb-4a18-11ed-96e6-f8bc12505841.pdf,8436bcbb-4a18-11ed-96e6-f8bc12505841
ADA4898-1YRDZ,ANALOG DEVICES,8542339000,ADA4898-1YRDZ ANALOG DEVICES,M:\DataSheet\cb8a2892-ddc2-11ed-96f0-f8bc12505841.pdf,cb8a2892-ddc2-11ed-96f0-f8bc12505841
LMC6482AIM/NOPB,TEXAS INSTRUMENTS,8542339000,LMC6482AIM/NOPB TEXAS INSTRUMENTS,M:\DataSheet\f021c8b8-4e2a-11ed-96e6-f8bc12505841.pdf,f021c8b8-4e2a-11ed-96e6-f8bc12505841
RFSA2033TR7,"QORVO, INC.",8542399010,"RFSA2033TR7 QORVO, INC.",M:\DataSheet\c6902a62-ec6f-11ec-96e1-f8bc12505841.pdf,c6902a62-ec6f-11ec-96e1-f8bc12505841
TMP102AIDRLR,TEXAS INSTRUMENTS,8542393000,TMP102AIDRLR TEXAS INSTRUMENTS,M:\DataSheet\0f99f34c-d227-11ed-96ef-f8bc12505841.pdf,0f99f34c-d227-11ed-96ef-f8bc12505841
LFCN-80+,MINI-CIRCUITS,8529108000,LFCN-80+ MINI-CIRCUITS,M:\DataSheet\97618265-69bd-11ee-96f4-f8bc12505841.pdf,97618265-69bd-11ee-96f4-f8bc12505841
HMC751LC4,ANALOG DEVICES,8542339000,HMC751LC4 ANALOG DEVICES,M:\DataSheet\05afc0ab-7fc5-11ee-96f6-f8bc12505841.pdf,05afc0ab-7fc5-11ee-96f6-f8bc12505841
VCB4828EBO-100WFR3,MORNSUN,8504409100,VCB4828EBO-100WFR3 MORNSUN,M:\DataSheet\2c1c5513-ebab-11ec-96e1-f8bc12505841.pdf,2c1c5513-ebab-11ec-96e1-f8bc12505841
W25Q02JVTBIM,WINBOND,8542326900,W25Q02JVTBIM WINBOND,M:\DataSheet\e893d240-26fe-11ee-96f2-f8bc12505841.pdf,e893d240-26fe-11ee-96f2-f8bc12505841
XC7Z045-2FFG900I,XILINX,8542319010,XC7Z045-2FFG900I XILINX,M:\DataSheet\517ac705-cfa8-11ed-96ef-f8bc12505841.pdf,517ac705-cfa8-11ed-96ef-f8bc12505841
XC7Z100-2FFG900I,XILINX,8542319010,XC7Z100-2FFG900I XILINX,M:\DataSheet\563c0dc6-b025-11ec-96e1-f8bc12505841.pdf,563c0dc6-b025-11ec-96e1-f8bc12505841
HMC511LP5E,ANALOG DEVICES,8542393000,HMC511LP5E ANALOG DEVICES,M:\DataSheet\1b01bb3d-5dd1-11ee-96f4-f8bc12505841.pdf,1b01bb3d-5dd1-11ee-96f4-f8bc12505841
ADA4891-2ARMZ-R7,ANALOG DEVICES,8542339000,ADA4891-2ARMZ-R7 ANALOG DEVICES,M:\DataSheet\c91d313e-ca14-11ed-96ee-f8bc12505841.pdf,c91d313e-ca14-11ed-96ee-f8bc12505841
TLV7031DBVR,TEXAS INSTRUMENTS,8542339000,TLV7031DBVR TEXAS INSTRUMENTS,M:\DataSheet\eba18b84-c195-11ed-96ed-f8bc12505841.pdf,eba18b84-c195-11ed-96ed-f8bc12505841
5000751517,MOLEX,8536693000,5000751517 MOLEX,M:\DataSheet\5f1ea23e-b9c3-11ed-96ed-f8bc12505841.pdf,5f1ea23e-b9c3-11ed-96ed-f8bc12505841
BAT1503WE6327HTSA1,INFINEON TECHNOLOGIES,8541100009,BAT1503WE6327HTSA1 INFINEON TECHNOLOGIES,M:\DataSheet\cefcae1b-d9fa-11ed-96ef-f8bc12505841.pdf,cefcae1b-d9fa-11ed-96ef-f8bc12505841
TTP223-BA6,TONTEK,8542399010,TTP223-BA6 TONTEK,M:\DataSheet\68ec5c1a-1fd2-11ee-96f2-f8bc12505841.pdf,68ec5c1a-1fd2-11ee-96f2-f8bc12505841
A7682E,SHANGHAI SIMCOM ELECTRONIC LIMITED,8517620009,A7682E SHANGHAI SIMCOM ELECTRONIC LIMITED,M:\DataSheet\23f6f820-cbcd-11ee-96f7-f8bc12505841.pdf,23f6f820-cbcd-11ee-96f7-f8bc12505841
NST235-DSTR,NOVOSENSE,8542393000,NST235-DSTR NOVOSENSE,M:\DataSheet\4a6813fc-e525-11ee-96f7-f8bc12505841.pdf,4a6813fc-e525-11ee-96f7-f8bc12505841
MB85RS256BPNF-G-JNERE1,FUJITSU,8542329000,MB85RS256BPNF-G-JNERE1 FUJITSU,M:\DataSheet\09484ad7-e690-11ee-96f7-f8bc12505841.pdf,09484ad7-e690-11ee-96f7-f8bc12505841
LM32-A3S-PI-N,APAC OPTO ELECTRONICS INC,8517620002,LM32-A3S-PI-N APAC OPTO ELECTRONICS INC,M:\DataSheet\6b93bf7e-4af0-11ed-96e6-f8bc12505841.pdf,6b93bf7e-4af0-11ed-96e6-f8bc12505841
MAX11661AUT+T,MAXIM INTEGRATED,8542399010,MAX11661AUT+T MAXIM INTEGRATED,M:\DataSheet\e020b0fe-11f4-11ef-96f7-f8bc12505841.pdf,e020b0fe-11f4-11ef-96f7-f8bc12505841
A2412S-2WR3,MORNSUN,8504409100,A2412S-2WR3 MORNSUN,M:\DataSheet\11d65600-aecf-11ee-96f7-f8bc12505841.pdf,11d65600-aecf-11ee-96f7-f8bc12505841
SIT9122AC-2C3-33E250.000,SITIME,8542393000,SIT9122AC-2C3-33E250.000 SITIME,M:\DataSheet\76e69e1a-fd84-11ee-96f7-f8bc12505841.pdf,76e69e1a-fd84-11ee-96f7-f8bc12505841
RC0603FR-07750RL,YAGEO,8533100000,RC0603FR-07750RL YAGEO,M:\DataSheet\87f1381b-6833-11ee-96f4-f8bc12505841.pdf,87f1381b-6833-11ee-96f4-f8bc12505841
RC0603JR-071K6L,YAGEO,8533100000,RC0603JR-071K6L YAGEO,M:\DataSheet\def12c1a-4bc1-11ee-96f3-f8bc12505841.pdf,def12c1a-4bc1-11ee-96f3-f8bc12505841
RC0805JR-07820RL,YAGEO,8533100000,RC0805JR-07820RL YAGEO,M:\DataSheet\c0acddf0-4bc2-11ee-96f3-f8bc12505841.pdf,c0acddf0-4bc2-11ee-96f3-f8bc12505841
RC0805JR-0727KL,YAGEO,8533100000,RC0805JR-0727KL YAGEO,M:\DataSheet\c84d4f7c-6111-11ee-96f4-f8bc12505841.pdf,c84d4f7c-6111-11ee-96f4-f8bc12505841
TCS4525-WT,TCS,8542399010,TCS4525-WT TCS,M:\DataSheet\ec22600e-021a-11ef-96f7-f8bc12505841.pdf,ec22600e-021a-11ef-96f7-f8bc12505841
P6SMB550A,YANGZHOU YANGJIE ELECTRONIC,8541100009,P6SMB550A YANGZHOU YANGJIE ELECTRONIC,M:\DataSheet\8d188527-7d21-11ed-96ea-f8bc12505841.pdf,8d188527-7d21-11ed-96ea-f8bc12505841
BAS516,YANGZHOU YANGJIE ELECTRONIC,8541100009,BAS516 YANGZHOU YANGJIE ELECTRONIC,M:\DataSheet\75368dd9-b1b9-11ed-96ed-f8bc12505841.pdf,75368dd9-b1b9-11ed-96ed-f8bc12505841
RB751S-40,YANGZHOU YANGJIE ELECTRONIC,8541100009,RB751S-40 YANGZHOU YANGJIE ELECTRONIC,M:\DataSheet\c50af9e4-2fa5-11ee-96f2-f8bc12505841.pdf,c50af9e4-2fa5-11ee-96f2-f8bc12505841
XCKU15P-2FFVE1517I,XILINX,8542399010,XCKU15P-2FFVE1517I XILINX,M:\DataSheet\f8076e2f-be73-11ed-96ed-f8bc12505841.pdf,f8076e2f-be73-11ed-96ed-f8bc12505841
XC7A100T-2FGG484I,XILINX,8542399010,XC7A100T-2FGG484I XILINX,M:\DataSheet\b5def8c9-4581-11ed-96e6-f8bc12505841.pdf,b5def8c9-4581-11ed-96e6-f8bc12505841
XC7A200T-2FBG484I,XILINX,8542399010,XC7A200T-2FBG484I XILINX,M:\DataSheet\6ffac6b6-be66-11ed-96ed-f8bc12505841.pdf,6ffac6b6-be66-11ed-96ed-f8bc12505841
FX5-20P-SH(71),HIROSECONNECTOR,8536693000,FX5-20P-SH(71) HIROSECONNECTOR,M:\DataSheet\b0550725-0879-11ef-96f7-f8bc12505841.pdf,b0550725-0879-11ef-96f7-f8bc12505841
CAT16-240J4LF,BOURNS,8533100000,CAT16-240J4LF BOURNS,M:\DataSheet\8a1d43f6-f272-11ee-96f7-f8bc12505841.pdf,8a1d43f6-f272-11ee-96f7-f8bc12505841
M20-9770246,HARWIN,8536693000,M20-9770246 HARWIN,M:\DataSheet\819fde85-03cd-11ef-96f7-f8bc12505841.pdf,819fde85-03cd-11ef-96f7-f8bc12505841
PB3-CR-E107-55-220-YG,DECIGN,8536693000,PB3-CR-E107-55-220-YG DECIGN,M:\DataSheet\c07237cc-ccbc-11ee-96f7-f8bc12505841.pdf,c07237cc-ccbc-11ee-96f7-f8bc12505841
GRM31CR61A107MEA8L,MURATA ELECTRONICS,8532240000,GRM31CR61A107MEA8L MURATA ELECTRONICS,M:\DataSheet\e7f5eeb6-a3c2-11ed-96ed-f8bc12505841.pdf,e7f5eeb6-a3c2-11ed-96ed-f8bc12505841
TX-5050RGBW10FC120-NGVCND34-02BH80,"GUANGZHOU TIANXIN PHOTOELECTRIC CO., LTD",8541410004,"TX-5050RGBW10FC120-NGVCND34-02BH80 GUANGZHOU TIANXIN PHOTOELECTRIC CO., LTD",M:\DataSheet\4edb9ea9-55fb-11ed-96e8-f8bc12505841.pdf,4edb9ea9-55fb-11ed-96e8-f8bc12505841
P50E-040P1-S1-EA,3M,8536693000,P50E-040P1-S1-EA 3M,M:\DataSheet\fd44b69f-0ba5-11ef-96f7-f8bc12505841.pdf,fd44b69f-0ba5-11ef-96f7-f8bc12505841
HSDL-9100-021,BROADCOM LIMITED,8541430000,HSDL-9100-021 BROADCOM LIMITED,M:\DataSheet\b503249b-e73b-11ec-96e1-f8bc12505841.pdf,b503249b-e73b-11ec-96e1-f8bc12505841
0039290043,MOLEX,8536693000,0039290043 MOLEX,M:\DataSheet\979a523c-f5a8-11ee-96f7-f8bc12505841.pdf,979a523c-f5a8-11ee-96f7-f8bc12505841
JXD0-0015NL,PULSE ELECTRONICS,8536693000,JXD0-0015NL PULSE ELECTRONICS,M:\DataSheet\0132d1d1-ad26-11ed-96ed-f8bc12505841.pdf,0132d1d1-ad26-11ed-96ed-f8bc12505841
"BZV55-B4V3,115",NEXPERIA,8541100009,"BZV55-B4V3,115 NEXPERIA",M:\DataSheet\b9e5e59a-03de-11ef-96f7-f8bc12505841.pdf,b9e5e59a-03de-11ef-96f7-f8bc12505841
"74AHC125D,118",NEXPERIA,8542399010,"74AHC125D,118 NEXPERIA",M:\DataSheet\a120c39e-f677-11ee-96f7-f8bc12505841.pdf,a120c39e-f677-11ee-96f7-f8bc12505841
C0603C474K4RACTU,KEMET ELECTRONICS,8532240000,C0603C474K4RACTU KEMET ELECTRONICS,M:\DataSheet\207d6e7c-f26f-11ee-96f7-f8bc12505841.pdf,207d6e7c-f26f-11ee-96f7-f8bc12505841
C0603C151K3GACTU,KEMET ELECTRONICS,8532240000,C0603C151K3GACTU KEMET ELECTRONICS,M:\DataSheet\37823aad-f330-11ee-96f7-f8bc12505841.pdf,37823aad-f330-11ee-96f7-f8bc12505841
5055681081,MOLEX,8536693000,5055681081 MOLEX,M:\DataSheet\f22cdd51-6363-11ee-96f4-f8bc12505841.pdf,f22cdd51-6363-11ee-96f4-f8bc12505841
C0603C225K8PACTU,KEMET ELECTRONICS,8532240000,C0603C225K8PACTU KEMET ELECTRONICS,M:\DataSheet\8a7cbbc9-f337-11ee-96f7-f8bc12505841.pdf,8a7cbbc9-f337-11ee-96f7-f8bc12505841
T495C107K010ATE100,KEMET ELECTRONICS,8532210000,T495C107K010ATE100 KEMET ELECTRONICS,M:\DataSheet\623d67b9-f32c-11ee-96f7-f8bc12505841.pdf,623d67b9-f32c-11ee-96f7-f8bc12505841
C0603C104K4RACTU,KEMET ELECTRONICS,8532240000,C0603C104K4RACTU KEMET ELECTRONICS,M:\DataSheet\f24ce525-f34a-11ee-96f7-f8bc12505841.pdf,f24ce525-f34a-11ee-96f7-f8bc12505841
C0603C330K3GACTU,KEMET ELECTRONICS,8532240000,C0603C330K3GACTU KEMET ELECTRONICS,M:\DataSheet\f1e254c2-f26d-11ee-96f7-f8bc12505841.pdf,f1e254c2-f26d-11ee-96f7-f8bc12505841
T520A476M006ATE150,KEMET ELECTRONICS,8532210000,T520A476M006ATE150 KEMET ELECTRONICS,M:\DataSheet\91f018c8-f32c-11ee-96f7-f8bc12505841.pdf,91f018c8-f32c-11ee-96f7-f8bc12505841
9001-15481C00A-OP2,OUPIIN ENTERPRISE,8536693000,9001-15481C00A-OP2 OUPIIN ENTERPRISE,M:\DataSheet\0f321a2a-91fb-11eb-96d0-b8ca3a6d7094.pdf,0f321a2a-91fb-11eb-96d0-b8ca3a6d7094
HI-2579CGIF,HOLT INTEGRATED CIRCUITS INC.,8542399010,HI-2579CGIF HOLT INTEGRATED CIRCUITS INC.,M:\DataSheet\db7a1aa7-82dd-11ee-96f6-f8bc12505841.pdf,db7a1aa7-82dd-11ee-96f6-f8bc12505841
HI-8597PSIF,HOLT INTEGRATED CIRCUITS INC.,8542399010,HI-8597PSIF HOLT INTEGRATED CIRCUITS INC.,M:\DataSheet\569c2546-6453-11ee-96f4-f8bc12505841.pdf,569c2546-6453-11ee-96f4-f8bc12505841
AP1603WG-7,DIODES INCORPORATED,8542399010,AP1603WG-7 DIODES INCORPORATED,M:\DataSheet\59aeb531-014b-11ee-96f1-f8bc12505841.pdf,59aeb531-014b-11ee-96f1-f8bc12505841
